https://twitter.com/CinematicBanter/status/1169303428453085185,,re,lik,com,,
@CinematicBanter,"When I did research for my editorial regarding Asian representation, I found and was told of multiple cases where Asian actors, directors or writers were not paid nearly anything as much as white actors, directors or writers. Furthermore, it’s been common knowledge in the film",305,1700,3,,
@CinematicBanter,"industry that there is a significant issue of gender pay gaps even in the modern day, this above story solidifies that.",169,1100,4,,
@ghostinmypocket,all these people mentioning how Adele Lim is under qualified is reminding me how as a society we're taught to value the accomplishments of a man more than a woman. BECAUSE HONEY THESE RESUMES- one is not like the other ! under qualified my ass #CrazyRichAsians,25,173,0,,
@Fesburn,The person who has been offered more money is the one with more experience in writing movies and has had a longer relationship with that particular studio. That's normal practice.,1,38,7,,
@foreignhk,So you just know he has more experience? Do some research before you make shit up,0,2,0,,
@zed_cull,God I love people getting angry about the most privileged overpaid people not being even more overpaid lol,0,11,2,,
@endia_jefferson,"It's about women earning less than men for doing the same quality of work. This is at all levels. High, low and in between.",1,48,0,,
@iBamBamBigalow,I heard will Smith made more than extra #7 in his movie even though they're both actors. Crazy its not like previous experience and portfolio has anything to do with how pay in the entertainment industry works.,0,4,1,,
@92supreme_cb,"You’re comparing an actor with an extra. In this case, they are co-writers. CO FUCKING WRITERS. And she is asian meaning she adds authenticity to the film which is literally about. Also she has 4 years more experience than the saltine. There is no excuse.",0,35,1,,
@iBamBamBigalow,"He's done multiple feature films from Eagle Eye, the Proposal, Now you see me...Shes only worked on small time TV shows and she was under qualified when she was given a chance to work on the first crazy Rich Asians. With this being only her second film of course they aren't equal",0,2,2,,
@92supreme_cb,LMAOO “under qualified” Are you the one who hires them or something? Who are you to even judge how qualified writers? And you’re right. They’re not equal. One is a white man and the other is a woman of color. But she’s asian so I guess we can overlook this blatant racism.,0,10,1,,
@iBamBamBigalow,Im saying qualifications are based on previous work. I could be the best mechanic in the world but if I tell you ive never actually worked on a car then im not as qualified as others who have. Show business pays you for what your previous value shows you to be. Not a set rate.,0,1,1,,
@92supreme_cb,"I really don’t understand your comparisons. They are two completely different things as she DOES have experience and she DOES have the talent and she EARNED the right to be a writer for the film, yet is is payed significantly less. Once again, theRE IS NO EXCUSE.",0,10,1,,
@iBamBamBigalow,helping out on a TV show is not the same amount of experience as someone with 4 other feature films under their belt. She has experience but not even in the same ballpark as him so the difference will be represented in the pay.,0,2,0,,
@iIAx102,Nope. Writers get money for their quality not because they're CO-WRITERS. Literally one of the dumbest arguments is that everyone should get paid the same in every movie. This isn't some Starbucks job. There're no defined rules on how much a person should get paid.,1,14,1,,
@Truly_Defective,So your argument is that she wasn’t pulling her weight on the last film? And you’d know this how? They don’t annotate the pages with who wrote what.,0,11,1,,
@iIAx102,Did i say that ? No. I said a general statement on how writers should get paid. I didn't get into this specific case. But you say this stuff but at the same time you all assume that the work was 50/50 between those two. Like i said there're no defined rules to find out how much.,0,6,2,,
@Truly_Defective,"You said it’s based on quality, so how does one work that out on a co-written project? If these were two separate writers on two separate movies, you’d maybe have a point, but they’re not so you don’t.",0,9,1,,
@iIAx102,So you're telling me if we had Quentin Tarantino working on a movie with some guy then they have to get paid the same amount ? No. That's just my point.,0,3,1,,
@GlitterNGoth,"God no, that unnamed guy deserves far more than Tarantino's one trick wonder, hack ass.",0,2,1,,
@iIAx102,Sure,0,0,0,,
@AKlay19,"Often in Hollywood, it’s about being paid by a person’s value rather than what the job is worth. Being hired to do a specific job doesn’t mean you get paid the same as another person in that job, which means that co-writers in general may not get equal pay. But she deserves more.",0,5,1,,
@pawttimer,"that's bullshit and we all know it. a job is a job. this is just about racism, sexism and bullshit coming from hollywoods braindead motherfucker echo chamber of throwing out women of color and acting like their worth is less just because... they're women of color? LOL fat chance!",0,16,1,,
@AKlay19,"Not saying that any of those factors aren’t involved. I’m just saying that having the same job on a film doesn’t mean you get paid the same. If you have more than one writer on a movie and one of them is Aaron Sorkin, there’s a good chance he gets paid more because of his resume.",0,1,2,,
@AussieRavenclaw,"She's the one with more experience, Adam. The fact she's an Asian woman is the reason she's paid 10% of his salary. This is a huge gap. And it's bc of racism and sexism. Hollywood have the big talk of wanting to help diversity. But when it comes to it, they don't deliver.",2,10,1,,
@AKlay19,"I never questioned her level of experience and agree that it’s WAY too big of a gap. I’m just saying why people don’t get paid the same for certain jobs on movies, even when they’re doing the same work. That’s all. This is a case that is unusually unreasonable.",0,0,1,,
@AussieRavenclaw,"Aaron Sorkin getting more paid makes sense bc he has a lot of experience. But in the majority of time, for the same job, poc get less paid than white ppl and women get paid less than men. It's why an asian woman with way more experience than a white guy gets 10% of his salary.",0,5,0,,
HoodieRat,The more that comes out about Hollywood the more you realize they don’t really have liberal beliefs they just want you to buy their shit. They’ll say whatever is trending at the moment so that you’ll like them and buy the things they tell you to,39,457,2,,
HoodieRat,I don’t listen to anything coming from Hollywood. It’s full of narcissists who if they really wanted to change anything could combine their money for actual change. Instead they rather just talk about what others should do or release a product that’s somehow supposed to help,8,153,2,,
HoodieRat,They all also stay quiet about massive injustices taking place in the indsustry in order to maintain their place in it. Think about how many people knew about Weinstein but never said a word until Jose brave women spoke their truth. What else are they hiding?,6,129,1,,
@HideSoul4,This is the thing that makes me scare I want to study to be a director or a guinist but the industry seems so sketchy,0,4,0,,
@zweeran,"Even if they are not paid equally, the gap is horrifyingly big.",46,975,1,,
@smalldrakka,"Agreed. There's giving the senior member of a pair a slight boost to reflect greater experience, and then there's giving him 8 TIMES the salary to reflect greater experience he probably got by virtue of working in an industry that privileges cis white men.",0,77,1,,
